小说,思家小馆的晚餐,[美] 安·泰勒, 百花文艺出版社, Dinner at the Homesick Restaurant,,, 2016-11-1, 344, 39.50, 平装,, 9787530669204, 8.6 ,151,45.0,39.7,13.2,0.7,1.3
小说,小说药丸,[英] 埃拉·伯绍德, 上海人民出版社, The Novel Cure: An A to Z of Literary Remedies,,, 2016-10, 360+别册112p, 59.00元, 盒装,, 9787208139022, 8.5 ,210,42.9,40.5,11.0,2.4,3.3
小说,东京本屋,[日] 吉井忍, 上海人民出版社,,,, 2016-8-1, 440, 69.00元, 平装,, 9787208139008, 9.0 ,593,56.7,35.9,7.3,0.2,0.0
小说,夏日启示录,[日] 笠井洁, 新星出版社, サマー·アポカリプス, 罗什福尔家杀人事件,, 2016-8, 392, 45.00元, 平装,午夜文库·日系佳作：笠井洁作品, 9787513321709, 8.2 ,441,38.5,41.0,16.3,2.7,1.4
小说,北鳶,葛亮, 聯經,,,, 2015-10-6, 568, NT390, 平装,, 9789570846300, 8.6 ,37,48.6,37.8,13.5,0.0,0.0
小说,暗杀大师：寻找伦勃朗,[美] 丹尼尔·席尔瓦, 江苏凤凰文艺出版社, The Rembrandt Affair,,, 2016-7-29, 424, 42.00元, 平装,读客全球顶级畅销小说文库：丹尼尔·席尔瓦作品, 9787539993621, 8.5 ,236,47.0,36.9,13.1,2.1,0.8
小说,有我在没人敢动你一根寒毛！,同道大叔, 百花洲文艺出版社,,,, 2016-8, 200, 36.8, 平装,, 9787550018198, 8.0 ,240,30.4,44.6,22.5,2.1,0.4
小说,Fall of Giants,Ken Follett, Dutton Adult,,,, 2010-9-28, 985, USD 36.00, Hardcover,Century Trilogy, 9780525951650, 8.8 ,113,51.3,39.8,8.8,0.0,0.0
小说,白夜行,[日] 东野圭吾, 南海出版公司, 白夜行,,, 2008-9, 467, 29.80元, 平装,新经典文库·东野圭吾作品, 9787544242516, 9.1 ,172199,62.8,30.3,6.1,0.5,0.3
小说,活着,余华, 作家出版社,,,, 2012-8-1, 191, 20.00元, 平装,余华作品（2012版）, 9787506365437, 9.3 ,48665,72.4,24.2,3.1,0.2,0.1
小说,嫌疑人X的献身,东野圭吾, 南海出版公司, 容疑者Xの献身,,, 2014-6, 251, 35.00元, 精装,, 9787544267618, 9.0 ,14458,61.3,32.7,5.7,0.3,0.1
小说,恶意,[日] 东野圭吾, 南海出版公司, 悪意,,, 2009-6, 264, 18.00, 平装,新经典文库·东野圭吾作品, 9787544244428, 8.4 ,58401,40.2,45.0,13.9,0.7,0.1
小说,偷影子的人,[法] 马克·李维, 湖南文艺出版社, Le voleur d&#39;ombres,,, 2012-6-20, 227, 29.80元, 平装,博集·外国文学馆, 9787540455958, 7.9 ,36237,28.5,44.4,23.8,2.7,0.6
小说,祈祷落幕时,[日] 东野圭吾, 南海出版公司, 祈りの幕が下りる时,,, 2015-1, 296, 39.50元, 精装,新经典文库·东野圭吾作品, 9787544274692, 7.7 ,8336,20.6,49.9,27.9,1.6,0.1
小说,嫌疑人X的献身,[日] 东野圭吾, 南海出版公司,,,, 2009年11月, 251, 19.80元, 平装,, 9787544245555, 9.0 ,32462,59.1,33.8,6.6,0.4,0.1
小说,解憂雜貨店,東野圭吾, 皇冠, ナミヤ雑貨店,,, 2013-8-5, 352, NT$350, 平装,東野圭吾作品集, 9789573330127, 8.6 ,3132,47.8,40.1,11.2,0.8,0.1
小说,ナミヤ雑貨店の奇蹟,東野 圭吾, 角川書店,,,, 2012-3, 385, JPY 1728, 単行本,, 9784041101360, 8.4 ,55,40.0,45.5,12.7,1.8,0.0
小说,没有人给他写信的上校,[哥伦比亚] 加西亚·马尔克斯, 南海出版公司, El coronel no tiene quien le escriba,,, 2013-5, 96, 19.50元, 精装,新经典文库:加西亚·马尔克斯作品, 9787544264013, 8.5 ,10259,38.9,47.9,12.3,0.6,0.2
